brand	sku	category	name	price	type	length	radius	angle	radius2	angle2	tracks	amazon	note
KATO	2-150	HO直線	直線線路 246mm (4本入)	358	straight	246	0	0	0	0	1		単価=1430/4
KATO	2-160	HO直線	直線線路 227mm (2本入)	550	straight	227	0	0	0	0	1		単価=1100/2
KATO	2-180	HO直線	直線線路 369mm (4本入)	468	straight	369	0	0	0	0	1		単価=1870/4
KATO	2-192	HO直線	6番ポイント補助直線 97mm (4本入)	385	straight	97	0	0	0	0	1		単価=1540/4
KATO	2-193	HO直線	直線線路 149mm (2本入)	550	straight	149	0	0	0	0	1		単価=1100/2
KATO	2-141	HO直線(PC)	PC直線線路 123mm (4本入)	358	straight	123	0	0	0	0	1		PC枕木
KATO	2-152	HO直線(PC)	PC直線線路 246mm (4本入)	358	straight	246	0	0	0	0	1		PC枕木
KATO	2-181	HO直線(PC)	PC直線線路 369mm (4本入)	495	straight	369	0	0	0	0	1		PC枕木
KATO	2-280	HO曲線	曲線線路 R370 22.5° (4本入)	358	curve	0	370	22.5	0	0	1		単価=1430/4
KATO	2-260	HO曲線	曲線線路 R430 22.5° (4本入)	358	curve	0	430	22.5	0	0	1		単価=1430/4
KATO	2-270	HO曲線	曲線線路 R490 22.5° (4本入)	413	curve	0	490	22.5	0	0	1		単価=1650/4
KATO	2-210	HO曲線	曲線線路 R550 22.5° (4本入)	426	curve	0	550	22.5	0	0	1		単価=1705/4
KATO	2-220	HO曲線	曲線線路 R610 22.5° (4本入)	440	curve	0	610	22.5	0	0	1		単価=1760/4
KATO	2-230	HO曲線	曲線線路 R670 22.5° (4本入)	454	curve	0	670	22.5	0	0	1		単価=1815/4
KATO	2-240	HO曲線	曲線線路 R730 22.5° (4本入)	468	curve	0	730	22.5	0	0	1		単価=1870/4
KATO	2-250	HO曲線	曲線線路 R790 22.5° (4本入)	440	curve	0	790	22.5	0	0	1		単価=1760/4
KATO	2-290	HO曲線	曲線線路 R867 10° (2本入)	550	curve	0	867	10	0	0	1		#6ポイント用
KATO	2-241	HO曲線(PC)	PC曲線線路 R730 22.5° (4本入)	468	curve	0	730	22.5	0	0	1		PC枕木
KATO	2-251	HO曲線(PC)	PC曲線線路 R790 22.5° (4本入)	481	curve	0	790	22.5	0	0	1		PC枕木
KATO	2-321	HO曲線(PC)	PC大径曲線 R1546 11.25° (4本入)	495	curve	0	1546	11.25	0	0	1		PC枕木
KATO	2-331	HO曲線(PC)	PC大径曲線 R1606 11.25° (4本入)	495	curve	0	1606	11.25	0	0	1		PC枕木
KATO	2-840	HO分岐	手動ポイント4番 左 R490	3520	turnout	246	490	22.5	0	0	1
KATO	2-841	HO分岐	手動ポイント4番 右 R490	3520	turnout	246	490	22.5	0	0	1
KATO	2-852	HO分岐	手動ポイント 左 R550	5500	turnout	246	550	22.5	0	0	1
KATO	2-853	HO分岐	手動ポイント 右 R550	5500	turnout	246	550	22.5	0	0	1
KATO	2-860	HO分岐	電動ポイント6番 左 R867	6820	turnout	492	867	10	0	0	1
KATO	2-861	HO分岐	電動ポイント6番 右 R867	6820	turnout	492	867	10	0	0	1
KATO	2-862	HO分岐	手動ポイント6番 左 R867	4400	turnout	492	867	10	0	0	1
KATO	2-863	HO分岐	手動ポイント6番 右 R867	4400	turnout	492	867	10	0	0	1
KATO	2-401	HO特殊	交差線路 90°	1650	crossing	60	0	90	0	0	1
KATO	2-170	HO特殊	車止め線路 109mm (2本入)	660	bumper	109	0	0	0	0	1		単価=1320/2
KATO	2-142	HO特殊	リレーラー線路 123mm	990	straight	123	0	0	0	0	1
KATO	2-143	HO特殊	アンカプラー線路 123mm	1650	straight	123	0	0	0	0	1
KATO	2-194	HO特殊	スライド線路 212-252mm	3300	straight	232	0	0	0	0	1		伸縮式
KATO	2-001	HO特殊	フレキシブル線路 900mm	1100	straight	900	0	0	0	0	1
KATO	2-151	HO特殊	フィーダー線路 246mm	880	straight	246	0	0	0	0	1
KATO	2-153	HO特殊	PCフィーダー線路 246mm	1540	straight	246	0	0	0	0	1		PC枕木
